actor,paragraph,date
Akershus fylkeskommune,"Man må gjennomgående ha et bevisst forhold til at virkemidler og tiltak for klima og natur kan innebære målkonflikter som må problematiseres og løses. Dette gjelder blant annet avveininger mellom arealbruk til energiproduksjon og natur, samt skog til skogproduksjon og klimatiltak versus bevaring av naturmangfold.",20.02.2024
Akershus fylkeskommune,"Areal og natur Natur- og klimakrisen krever raske, gjennomgripende og varige samfunnsendringer som må skje samtidig og koordinert på tvers av sektorer og forvaltningsnivå. Dette arbeidet må støttes opp med virkemidler. Klimautvalget anbefaler at det må gjennomføres en analyse over samlede planlagte arealdisponeringer i Norge. En slik helhetlig oversikt over planlagt arealbruk både på kommune-, regionalt- og nasjonalt nivå er et viktig grunnlag for areal- og naturregnskap, og for å få en totaloversikt over konsekvenser av vedtatte politiske planer. Det er behov for en helhetlig tilnærming til arealpolitikken, og bred virkemiddelbruk hvor naturavgift kan inngå som ett av flere momenter. Fylkeskommunen ser positivt på at naturavgift og verdsetting av natur utredes videre. Tiltakshierarkiet må ligge til grunn ved vurdering av alle arealinngrep.",20.02.2024
Akershus fylkeskommune,"Endringer i arealbruk, både i form av inngrep, nedbygging og gjengroing, fører til endring og fragmentering av arters leveområder og økt klimagassutslipp. For å løse dette er det viktig å få på plass virkemidler og insentiver raskt, herunder blant annet mer øremerkede midler til natur- og klimatiltak og omgjøring av subsidier som skader disse hensynene. Det er videre behov for et tydeligere regelverk som ivaretar natur, samt konsekvensen av eventuelle brudd på lovverket. Krav til bedre dokumentasjon og helhetlige prosesser rundt endret arealbruk må strammes inn gjennom plan- og bygningsloven og sektorlovverk. Konsekvensene for natur og økosystemtjenester må kartlegges og offentliggjøres. Det må et tydeligere «forurenser betaler»-prinsipp inn også i arealpolitikken. Uunngåelig nedbygging av natur må følges opp med restaurering av tilsvarende natur, i henhold til arealnøytralitetsprinsippet.",20.02.2024
Akershus fylkeskommune,"Arealregnskap som verktøy må styrkes i beslutningsprosesser, arealnøytralitet bør vurderes som et prinsipp i alle kommuner og naturen må kartlegges bedre. Klimautvalget peker på noen vesentlige muligheter og begrensninger angående areal- og naturregnskap. Naturregnskap er viktig for å gjøre helhetlige vurderinger rundt disponering av areal, inkludert karbonrike arealer. Akershus fylkeskommune, med samarbeidspartnere, arbeider for tiden med å utarbeide kartbaserte arealregnskap, inkludert natur og klimadata. Det er likevel viktig å minne om at dette kun er et verktøy, som må tas i bruk på riktig måte og hensyntas i beslutningsprosesser for å ha en reel betydning. Det bør så raskt som mulig utvikles omforent metodikk for naturregnskap til bruk i alle kommuner i Norge. Stadig flere kommuner vedtar arealnøytralitet som styringsmål i sin arealforvaltning. Arealnøytralitet bør vurderes som et prinsipp i alle kommuner. En entydig definisjon og retningslinjer for gjennomføring må på plass. Klimautvalget understreker videre at naturen må kartlegges bedre som grunnlag for en god arealpolitikk. En god oversikt over naturtyper, arter og habitater er en forutsetning for en bærekraftig arealpolitikk. Fylkeskommunen mener at det vil være en forutsetning for et funksjonelt naturregnskap og for å nå målet om 30 % vern av hav og landområder i Norge.",20.02.2024
Akershus fylkeskommune,"Det er videre viktig å ha en helhetlig tilnærming til naturverdi, også med hensyn til økosystemtjenester. Som et eksempel vil Akershus fylkeskommune trekke fram friluftslivskartlegginger. 20 av 21 kommuner i vårt fylke har kartlagt og verdsatt områder for friluftsliv, med mål om å ivareta viktige naturområder som stimulerer til hverdagsaktivitet.  Planvask av kommuneplanenes arealdel og reguleringsplaner samt prosjektvask av samferdselsprosjekter er nødvendig - men det er behov for en nasjonal veileder.",20.02.2024
Akershus fylkeskommune,"Akershus fylkeskommune støtter Klimautvalgets forslag om planvask, og at «kommunene reviderer kommuneplanens arealdel og vedtatte reguleringsplaner». Det er et stort behov for at kommuner går gjennom eldre planer. Mange planer er utdaterte og samsvarer ikke med ønsket utvikling, og ivaretar heller ikke i tilstrekkelig grad arealer som er viktige for natur og klima. Akershus fylkeskommune mener at Kommunal- og distriktsdepartementet (KDD) bør utvikle en veileder for planvask for å lage gode rammer for kommunenes arbeid med dette.",20.02.2024
Akershus fylkeskommune,"Matsystemet  Fylkeskommunen støtter utvalgets vurdering om at kunnskap om både utslipp fra biologiske prosesser og hele verdikjeden bør utredes. I NOU 25 trekkes det frem at jordbrukssektoren står for 9,5 prosent av de totale norske klimagassutslippene og påvirker flere miljøparameter som arealbruk, bruk av ferskvann og havområder, biologisk mangfold mm. Utvalget foreslår flere punkter som skal sørge for at politikken for matsystemet trekker i samme retning som klimapolitikken. Akershus fylkeskommune støtter anbefalingene. Fylkeskommunen støtter også utvalgets vurdering om at kunnskapen om utslipp av klimagasser fra det norske matsystemet må videreutvikles. Dette gjelder blant annet hvordan konsum, og organisering av distribusjon, grossistledd, videreforedling og primærproduksjon påvirker utslipp av klimagasser i de ulike leddene. Dette må sees i sammenheng med virkemidlene og innretning av incentivene for jordbruksnæringen, samt verdikjeden fra produsent til forbruker.",20.02.2024
Akershus fylkeskommune,"Transport og mobilitet Nullutslippsløsninger i lavutslippssamfunnet bør ikke begrenses til el. Den største utslippssektoren i Akershus er veitrafikk, og det er i denne sektoren de største kuttene må gjøres. Utslippene fra denne sektoren viser en svak nedgang, hovedsakelig på grunn av elektrifisering av personbiler, men det er behov for større og raskere kutt for å kunne nå klimamålet.",20.02.2024
Akershus fylkeskommune,"I utvalgets rapport defineres nullutslipp som el og hydrogen. Likevel forutsetter utvalget at veitrafikken er hel-elektrifisert innen 2050 og påpeker at: «utviklingen av transportsystemet reduserer samlet energibruk på transport. Dette tilsier at det bør satses på direkte elektrifisering så langt som mulig, og ikke energikrevende drivstoff som hydrogen eller biodrivstoff. Disse bør forbeholdes transport som ikke lett kan elektrifiseres, som langtransport til sjøs.» Akershus fylkeskommune er uenige i denne vurderingen, og mener at både hydrogen og biogass er en del av fremtidens drivstoffmiks, spesielt når det gjelder tungtransport.",20.02.2024
Akershus fylkeskommune,"I tråd med mål om sirkulær økonomi og effektiv ressursutnyttelse, kan produksjon av biogass basert på avfall til drivstoff formål, være en like viktig prioritering. Akershus fylkeskommune er enig med utvalget i at biogass og biomasse er en begrenset ressurs, men i dag utnytter vi kun en liten andel av de ressursene vi har tilgjengelig. Biogassen, som vi i dag kan produsere med like god klimaeffekt som el og hydrogen, bør derfor prioriteres på lik linje som el og hydrogen, slik at vi på best mulig måte utnytter alle de ressursene vi har i Norge.",20.02.2024
Akershus fylkeskommune,"Hydrogen blir sett på som lite energieffektivt, men for å avkarbonisere tungtransporten trenger vi både batterielektriske lastebiler og hydrogenlastebiler. Hydrogenlastebilene har noen viktige fortrinn som gjør at transportbransjen etterspør også disse. Det er blant annet større nyttelast, lengre rekkevidde, kortere fylletid og med dette også større fleksibilitet for brukeren. I tillegg til segmentet lastebiler, er hydrogen også aktuelt til anleggsmaskiner, busser og personbiler. I Oslo kjører 40-50 taxier på hydrogen.",20.02.2024
Akershus fylkeskommune,"Tilstrekkelig utbygging av infrastruktur for fossilfrie drivstoff er avgjørende for å nå klimamålene i transportsektoren. Det er også nødvendig å klargjøre på hvilke områder det er behov for offentlig virkemiddelbruk. Utviklingen av infrastrukturen for elbiler er i stor grad markedsdrevet, men dette gjelder i mindre grad for hydrogen og biogass. Etablering av fylle- og ladeinfrastruktur, som setter flere i stand til å bytte til fossilfri transport, har dermed en direkte påvirkning på måloppnåelse for fylkeskommunens klimapolitikk. Mangelen på infrastruktur er av transportbransjen pekt på som en barriere for omstillingen til utslippsfri transport. Flere aktører ønsker å etablere hydrogenstasjoner i Norge, men det mangler en tydelig prioritering fra myndighetens side for at det skal bli mulig.",20.02.2024
Akershus fylkeskommune,"Kombinasjonen el og hydrogen kan være fordelaktig for å utnytte kapasiteten og utjevne effektbehovet, og dermed gi mindre behov for nettutbygging. Nettselskapene har varslet at de vil kunne få problemer med å tilby den nødvendige kapasiteten der det er behov. Dette er også relevant for transportsektoren. Her bør man se på infrastruktur for lading og hydrogen i sammenheng. Effektbehovet er stort ved samtidig lading av mange elektriske lastebiler. Her kan hydrogen gi et fortrinn med lavere effektbehov og produksjon over hele døgnet.  Fylkeskommunen støtter forslaget om bedre utnyttelse av eksisterende infrastruktur.",20.02.2024
Akershus fylkeskommune,"Fylkesrådet har i sin politiske plattform prioritert vedlikehold av fylkesveier som ett av sine viktigste satsningsområder innen samferdsel. Rammeverket UFF støttes ved å ha fokus på å få flere trafikanter over på kollektiv, sykkel og gange. Forslaget om et bredere kunnskapsgrunnlag rundt mobilitet er dermed viktig for å kunne planlegge for de fremtidige transportmønstre, og ikke etter dagens behov. Fremover bør kunnskapsgrunnlaget om transport og mobilitet utvides til også å inkludere hva som driver etterspørsel etter mobilitet, hva folk ønsker å bruke reisetid til, preferanser for ulike transportformer og hvordan ulike transportformer kan legge til rette for ønsket bruk av tiden på reise. Fylkeskommunen støtter utvalgets anbefaling om et bredere syn på Nasjonal transportplan. En nasjonal mobilitetsplan som i større grad må ta med seg perspektivene til gang og sykkel kan være med på å ta fokus bort fra bilen som premissetter.   Økonomisk aktivitet, velferd og sirkulærøkonomi Bioøkonomi bør være en del av omstillingen til en sirkulær økonomi. 7  Bioøkonomi er ikke nevnt i rapporten til utvalget. Omstilling til en sirkulær økonomi sikrer effektiv bruk av ressurser og redusert forbruk, men det er samtidig nødvendig å erstatte bruk av fossile ressurser med biobaserte ressurser for å redusere det totale klimafotavtrykket. Bruk av tre i bygg, i stedet for betong, er et godt eksempel på dette.",20.02.2024
Akershus fylkeskommune,"Kunstgressbaner er et annet eksempel. Viken fylkeskommune vedtok høsten 2021 at kunstgressbaner med løst plastholdig ifyll ikke skulle prioriteres ved fordeling av tilskudd til anlegg for idrett og fysisk aktivitet. Dette ble gjort gjeldende for baner med byggestart etter 01.01.23. Dette vedtaket er forlenget inn i Akershus frem til det eventuelt foreligger et nytt vedtak. Etter Vikens vedtak har også EU vedtatt et forbud mot omsetning av løst plastholdig ifyll med virkning fra 2031.  Det må stimuleres til innovasjon for å utvikle produkter uten plast som gir tilsvarende spillegenskaper.  Innovasjon, omstilling og næringsstruktur  Klima- og næringspolitikk må trekke i samme retning samtidig som næringspolitikken må være fleksibel for å løse andre samfunnsutfordringer. NOU 25 omtaler viktigheten av innovasjon og omstilling for å kutte klimagassutslipp. Det foreslås en rekke tiltak som skal sikre innovasjon og omstilling gjennom en ambisiøs klimapolitikk, som skal redusere usikkerhet og gi private aktører forutsigbarhet og insentiver til klimavennlige og lønnsomme investeringer. Akershus fylkeskommune støtter i hovedsak anbefalingene. Vi ønsker også å vektlegge hvor viktig det er at klima- og næringspolitikk trekker i samme retning. Næringspolitikken må være fleksibel og tilrettelagt – også for andre samfunnsutfordringer som skal løses.",20.02.2024
Akershus fylkeskommune,"Veivalg og virkemidler Behov for bedre datagrunnlag, statistikk og indikatorer som også sammenfaller med EUs verktøy. Fylkeskommunen støtter utvalgets anbefaling om at kunnskapsgrunnlaget, beregninger og statistikk om forbruksbaserte utslipp og sirkulær økonomi bør styrkes og utvikles. Akershus fylkeskommune støtter også utvalgets forslag om å utarbeide klimamål for utslipp og opptak fra skog- og arealbrukssektoren. Nasjonale mål om forbruk, energi og mål for areal- og skogbrukssektoren må imidlertid kunne følges opp på lokalt og regionalt nivå. Det vil være behov for å styrke og utvikle datagrunnlag, statistikk og felles indikatorer som kan brukes av kommuner og fylkeskommuner. Oppdatering i datagrunnlag bør komme årlig.  Akershus fylkeskommune mener at EU har flere verktøy for kommuner og fylkeskommuner som er lite tilgjengelig for norske aktører per dags dato. Det finnes ikke offisiell norsk energistatistikk fordelt på kommunenivå, og den norske kommunefordelte klimastatistikken skiller seg på flere områder fra kommunefordelt klimastatistikk som brukes i EU.",20.02.2024
Akershus fylkeskommune,"Organisering for klimaomstilling Fylkeskommunen er motivert til å utvikle sin samfunnsutviklerrolle i klimaomstillingen og stiller seg positiv til å ta en sentral rolle i utvalgets forslag om å etablere kompetansesenter eller omstillingsregioner. Utvalget anbefaler at kommunene bør får et tydelig og lovfestet ansvar for å bidra i omstillingen til et lavutslippssamfunn, og staten må legge til rette for at kommuner kan føre en ambisiøs klimapolitikk. Fylkeskommunen støtter dette, men savner et større fokus på rollen fylkeskommunen har i utvalgets vurderinger. Akershus fylkeskommunen stiller seg positive til å ta en rolle i utvalgets forslag om å etablere kompetansesentre for kommunene, eller bli en omstillingsregion, for å styrke kompetansen innen, eksempelvis, arealforvaltning, sirkulærøkonomi og energieffektivisering i kommunene og bidra til omstillingsarbeidet i distriktskommuner.",20.02.2024
Akershus fylkeskommune,"Fylkeskommunen har imidlertid et potensiale og mulighet til å ta en større og bredere rolle i klimaomstillingen enn det som vises i eksemplene utvalget trekker frem. Gjennom rollene som samfunnsutvikler har også fylkeskommunene stort handlingsrom som kan utnyttes, ved å 1) gi strategisk retning til samfunnsutviklingen 2) mobilisere privat sektor, kulturliv og lokalsamfunn, og 3) samordne, koordinere offentlig innsats og virkemiddelbruk. Å bygge kapasitet, kultur og kompetanse for helhetlig virkemiddelbruk, felles innsats og samarbeid på tvers av fag, sektorer og forvaltningsnivå er en viktig rolle fylkeskommunen har og som er helt sentralt for å lykkes i omstillingen til lavutslippssamfunnet. Medvirkning og eierskap til lavutslippssamfunnet er viktige områder som bør få mer oppmerksomhet hvis vi skal lykkes.",20.02.2024
Akershus fylkeskommune,"Akershus fylkeskommune berømmer utvalget for å gi god plass i rapporten til medvirkning og deltakelse i omstillingsprosessen til et lavutslippssamfunn. God kommunikasjon til alle deler av befolkningen er avgjørende for å få med alle innbyggerne i omstillingsprosessen. Fylkeskommunen er enige i at kommuner og fylkeskommuner er gode testarenaer for nye medvirkningsprosesser og at det bør tilrettelegge bedre for eksperimentering og læring for eksempel ved at virkemidler innføres gradvis eller i ulike områder/for ulike grupper på ulike tidspunkt. Kultur og frivillighet kan nå ut til folk på måter andre virkemidler ikke kan. Kunstnere, museer og frivillige organisasjoner kan skape arenaer for å skape forståelse og oppslutning om klima og natur. Det er også viktig at det nasjonale virkemiddelapparatet støtter forskning på dette feltet. Her vil vi gjerne trekke frem FME Include som har et slikt fokus og hvor Akershus fylkeskommune er partner. Kommunene og fylkeskommunene må tilføres ressurser og kunnskap for å kunne gjennomføre og evaluere klimapolitikken.",20.02.2024
Akershus fylkeskommune,"For å løse problemstillinger rundt nedbygging av natur og reduksjon av klimagassutslipp, har kommunene våre en nøkkelrolle. Kommunene må gis nødvendige ressurser både finansielt og 9 personalmessig for å klare den jobben og lovverket som plan- og bygningsloven må styrkes for å oppnå klimamål og mål i naturavtalen.",20.02.2024
Akershus fylkeskommune,"Fylkeskommunen anbefaler at MIK programmet (miljøvern i kommunene) på 90-tallet blir vurdert gjenopptatt for å sikre dedikerte personalressurser for å følge opp klima- og miljøpolitikk i hver enkelt kommune. Videre støtter fylkeskommunen utvalgets vurdering om at Klimasats, som et finansielt virkemiddel for å iverksette lokale klimatiltak, fortsetter som en fast post på statsbudsjettet.",20.02.2024
Akershus fylkeskommune,"Utvalget foreslår også «å endre kommuneloven slik at det blir lovpålagt å utarbeide og vedta klimamål med en tilhørende plan med tiltak for å kutte utslipp og øke opptak i tråd med målet, og et klimabudsjett som gjelder utslipp innenfor kommunens geografiske område» samtidig som de anbefaler å innføres et enhetlig måle- og rapporteringssystem for kommuners klimaarbeid. Fylkeskommunen støtter dette og anbefaler at også fylkeskommuner bør inkluderes i et eventuelt rapporteringssystem og blir tildelt en koordineringsrolle for sine kommuner. Dette kravet bør følges opp med ressurser til kommunene/fylkeskommunene og omforente verktøy for at dette skal bli gjennomført.",20.02.2024
Aurskog-Høland kommune,Høringsinnspill - Offentlig høring av NOU 2023:25 Omstilling til lavutslipp - Veivalg for klimapolitikken mot 2050 ,29.02.2024
Aurskog-Høland kommune,"Det vises til invitasjon til å komme med høringsinnspill til Klimautvalgets utredning om omstilling til lavutslippssamfunnet. Høringsfristen ble utsatt til 28. februar 2024, og Aurskog-Høland kommune fikk bekreftet at pga. formannskapsmøtet akkurat den 28. februar kunne vi sende inn vårt høringsinnspill på skuddårsdagen. ",29.02.2024
Aurskog-Høland kommune,"Formannskapet behandlet utredningen i møte 28. februar 2024 (sak 30/24). Kommunedirektørens saksframlegg og forslag ble enstemmig vedtatt, og er vedlagt.  Aurskog-Høland kommune ønsker å komme med følgende høringsinnspill til utredningen om omstilling til lavutslippssamfunnet:  Generelt Aurskog-Høland kommune støtter utredningen som Klimautvalget har gjort, og tar NOU 2023:25 med som veiledning i kommuneplanprosessen.  Aurskog-Høland kommune ønsker å understreke at Klimautvalgets rapport er et helhetlig, omfattende og grundig dokument som analyserer alle aspekter som gjelder omstilling av samfunnet. Det er et informativt og pedagogisk godt dokument.  Grunnlag for stortingsmelding(er) og veiledning for samfunnsplanlegging NOU Omstilling til lavutslipp – Veivalg for klimapolitikken mot 2050 beskriver situasjonen og fremtidsbildet, samt hva som må til for å nå målene på en lettfattelig og pedagogisk måte. Det er Aurskog-Høland kommune sin vurdering at denne NOU er et godt underlag for stortingsmelding(er) og veiledninger for stat og fylkeskommuner/kommuner. Kommunene spesielt har ansvar og rolle innen omstilling av energisystemet og forvaltning av arealer/natur. Det er særs viktig at det sikres et godt samspill mellom stat og kommuner, og at kunnskapsgrunnlaget særlig knyttet til energibehov i framtiden og verdien av natur og kostnadene ved endret arealbruk avklares.  Forhold til kommunale klimaplaner Aurskog-Høland kommunes egen klimaplan har og har hatt ambisiøse, men konkrete mål knyttet til både kommunen som virksomhet og samfunnet Aurskog-Høland. Sju satsingsområder er presisert og disse er direkte knyttet til kommunale tjenesteområder.  I klimaplanen til Aurskog-Høland kommune er det understreket viktigheten av skog og grønne arealer for lagring og opptak av karbon, samt at utslipp av klimagasser må reduseres og samfunnet må tilpasses et endret klima. I tillegg til at det er avgjørende med en omstilling av hvordan vi bruker energi, som innebærer endret bruk av elektrisitet, satsing på ENØK og lokal fornybar energi har vært hovedtemaer. Utvelgelse av tiltak har blitt gjort ut fra kunnskapsgrunnlag basert på FNs klimapanel, som oppsummert til hjelp for kommunene av Miljødirektoratet. Det er satt i gang flere arbeider er i gang knyttet til bærekraftig areal- og naturressursforvaltning og energiforvaltning, både praktiske og konkrete samt FoU-arbeider. Det er interessant og tilfredsstillende at en så helhetlig og omfattende NOU som det Klimautvalget har lagt fram støtter opp under og viser en retning vi allerede har staket ut for et moderne og framtidsrettet samfunn.",29.02.2024
Aurskog-Høland kommune,"Naturressurskommuner har ansvar og kan ta posisjon Denne NOU understreker spesielt at naturressursene er viktige og helt avgjørende, og hvorfor og hvordan kommunene med mye naturressurser må forvalte disse bærekraftig. Som en av de absolutt største natur- og landbrukskommunene har Aurskog-Høland et ansvar og en rolle å spille i regionen og for landet hva angår bærekraftig utvikling.",29.02.2024
Aurskog-Høland kommune,"Naturressurskommuner blir tydelig veiledet om at de har en unik mulighet til å verdisette arealer og kostnadsberegne endret arealbruk, slik at de kan ta bevisste og bærekraftige valg for framtiden. Kommunene kan drive forvaltning i praksis slik at man kan gå foran som et godt eksempel for andre og hjelpe regionen og landet med å sikre opptak av karbon, lagring av karbon og produsere fornybar energi. Dette betinger at vi har et solid kunnskapsgrunnlag om naturen, og at vi ikke tar for raske beslutninger om arealbruksendringer.",29.02.2024
Aurskog-Høland kommune,"Det er helt nødvendig at kommuner med store naturressurser tar vare på og forvalter disse riktig. Ved å ta vare på skogen og de grønne arealene sikrer vi lagring og opptak av karbon, og ved å legge til rette for produksjon av fornybar energi sikrer vi reduksjon i utslipp av klimagasser. Det er hvordan vi forvalter naturressursene, og i første rekke arealene i sammenheng med energiforvaltning, som er den største utfordringen i tiden framover – samt problemstillinger knyttet til dette.",29.02.2024
Aurskog-Høland kommune,"Arealbruk i dag og planlagt Når vi ser på den gjeldende arealdelen i kommuneplanen til Aurskog-Høland ser vi mye LNFR- areal og noe areal som er vernet etter naturvernformål. Disse arealene er verdifulle nå og for framtiden, ikke minst fordi det er disse arealene som både lagrer og binder karbon samt gir oss flere andre økosystemtjenester. Bærekraftig arealforvaltning er allerede understreket som særlig i gjeldende klimaplan, og kommunen har tatt initiativ og samarbeider med næringsliv og FoU-miljøer både lokalt og nasjonalt spesielt knyttet til våtmark og myr.",29.02.2024
Aurskog-Høland kommune,"I de siste par tiårene fram til 2050 kan Aurskog-Høland kommune ytterligere styrke sin posisjon innen framtidens arealforvaltning, vise vei og være en del av løsningen for å tilrettelegge for forvaltning av ressurser i kretsløp. Arealer er en begrenset ressurs. Fornybar energi er en betingelse for framtidens lavutslippssamfunn. Produksjon av fornybar energi betinger bruk av arealer. Arealbruk til produksjon av fornybar energi trenger ikke å ødelegge verdifull natur. Totalt er Aurskog-Høland kommune 1 144 km2. Dette arealet brukes til i stor grad veier og annen infrastruktur for kommunikasjon, boliger, næringsbygg og fritidsbebyggelse (figur 1). Mer om arealbruk, og indikatorer, finnes her (Arealbruk i din kommune – SSB). ",29.02.2024
Aurskog-Høland kommune,Figur 1: Statistikk over hva vi har bebygd arealene med i Aurskog-Høland og hva de ubebygde arealene består av (kilde: SSB). ,29.02.2024
