actor,text,label
Animalia AS,"Meldingen slår blant annet fast følg: “For å ivareta norsk matsikkerhet vil regjeringen også videreføre de tre pilarene for norsk matsikkerhet, som er å opprettholde produksjonsgrunnlaget, løpende produksjon av mat, og velfungerende handelssystemer. ” (5.7). “Regjeringen vil arbeide videre med klimatilpasningstiltak og klimarobuste driftsformer som kan bidra til både å nå landbrukspolitiske mål, det nasjonale målet for klimatilpasning og sikre øvrige samfunnsinteresser” (6.5.1.) Betydningen av klimaendringer for norsk matproduksjon er utdypet i Bardalen m.fl.: Klimaendringer utfordrer det norske matsystemet (NIBIO 2022) Beredskap",Bedrift
Ann Norderhaug,"The importance of grasslands in carbon sequestration and climate change mitigation. Climatic Change 176, 55. https://doi.org/10.1007/s10584-023-03537-w Nordic Nutrition Recommendations 2023. Nordic Council of Ministers 2023:003. Prop. 1 s 2023-2024 Klima- og miljødepartementet.",Bedrift
Ann Norderhaug,"Ett ekologiskt landskapsperspektiv för att bevara biologisk mångfald och ekosystemtjänster i det svenska jordbrukslandskapet. s. 74-85 i Ihse, M. (red.) Landskap – ett vidsträckt begrepp. En antologi om landskap. KSLAT nr 5-2019 Thorhallsdottir, A.G. & Gudmundsson, J. 2023.",Bedrift
Arbeidsgiverforeningen Spekter,"Klimatiltak i Norge mot 2030, som kom ut i fjor, påpeker at utslippene forårsaket av nordmenns matforbruk vil reduseres med 4,5 millioner tonn CO2-ekvivalenter dersom alle nordmenn spiser i tråd med Helsedirektoratets kostholdsråd. Basert på en karbonpris/skadekostnad på 2000 kr per tonn, som omtrent tilsvarer Environmental Protection Agency (EPA) sin nyeste anbefaling for skadekostnad til den amerikanske regjeringen, betyr det en besparelse for samfunnet på 9 milliarder kroner pr år. I 2023 kom også Effektive kosthaldstiltak , Rapport frå ei ekspertgruppe om kostnadseffektive tiltak som kan føre til eit betre kosthald og jamne ut sosiale forskjellar i kosthaldet – med Helsedirektoratet som sekretariat. Den pekte igjen på Helsedirektoratets rapport Samfunnsgevinster av å følge Helsedirektoratets kostråd fra 2016.",Interessegruppe
Arbeidsgiverforeningen Spekter,"Gevinstene fordelte seg på flere leveår og bedret livskvalitet, reduserte helsetjenestekostnader og redusert produksjonstap som følge av redusert sykefravær, uførhet og tidlig død. Vi ønsker her å påpeke den reduserte belastningen på helsetjenestene. Beregningen fra Helsedirektoratet viste 12 mrd. 2013-kroner (15,4 mrd. 2022-kroner) i unngåtte kostnader for helsetjenestene dersom hele befolkningen fulgte kostholdsrådene. Tallet inkluderer besparelser i spesialist- og primærhelsetjenesten, men ikke besparelser til omsorgs- og pleietjenester. For å beregne effekt på bemanningsbehov, kan vi se på at antall årsverk i spesialisthelsetjenesten er 132 000 (2021-tall, SSB), mens den koster 180,6 milliarder (2022-tall, SSB). Legger vi til grunn en lik besparelse i årsverk som i kroner, altså 8,5 %, vil det tilsvare et redusert årlig bemanningsbehov på 11 200 årsverk i helsetjenestene dersom hele befolkningen følger Helsedirektoratets kostholdsråd. Det er neppe realistisk å ta ut hele potensialet, men selv en 20 % forbedring ville spart nesten en million tonn CO2, over 2000 årsverk i spesialist- og primærhelsetjenestene og gitt samlede samfunnsgevinster på 50-60 milliarder kroner årlig.",Interessegruppe
Arbeidsgiverforeningen Spekter,"Det krever også tilstrekkelige økonomiske ressurser og tilstrekkelig energiforsyning til å dimensjonere tilbudet riktig. Videre krever det tilstrekkelige ressurser til å bygge beredskap for energiforsyning/fylling/lading ved større strømbrudd lokalt og for eksempel langs traseer som kollektivtrafikken skal bruke i tilfelle evakuering av befolkningen fra byer. Norge er mer avhengig av en velfungerende luftfart enn de fleste andre land. Særlig har luftfarten stor betydning for persontransport, samfunnssikkerhet og beredskap i Nord-Norge. Hvis luftfarten ikke lykkes med klimaomstilling, blir alternativet å kraftig redusere samfunnets mobilitet, med de negative konsekvenser det vil ha.",Interessegruppe
Arbeidsgiverforeningen Spekter,"Luftfarten er arealeffektiv. Siden infrastrukturen i form av flyplasser også i all hovedsak er ferdig utbygd, vil det også være en transportform som unngår omfattende nye naturinngrep i tynt trafikkerte transportkorridorer som omfattende utbygging av vei- og jernbaneinfrastruktur ville skapt. Luftfarten kan altså gi et bærekraftig bidrag til betydelige innsparinger både i offentlig pengebruk, klimagassutslipp og arealinngrep. Men teknologien for nullutslipp i luftfarten kommer ikke av seg selv.",Interessegruppe
Arbeidsgiverforeningen Spekter,"Flytende biodrivstoff bør i hovedsak benyttes til de formålene det er mest utfordrende å elektrifisere, som langdistanse luftfart og sjøfart. For å få dette til, er det viktig med rask omstilling av veitransporten til elektrisitet og biogass og etter hvert full elektrifisering, så man kan få frigjort de betydelige mengdene biodrivstoff som brukes der i dag. For eksempel viser tall fra Miljødirektoratet og Drivkraft Norge at mengden biodrivstoff som gikk til veitransport i Norge i 2022 tilsvarte halvparten av den totale mengden flydrivstoff som ble solgt i 2023, da luftfarten var i ferd med å nå en ny normal etter pandemien.",Interessegruppe
Asker kommune,"Asker kommune har lenge prøvd å få en oversikt over kommunesamfunnets forbruksbaserte utslipp. Vi ber om at det gis en bestilling til Miljødirektoratet om å få på plass bakgrunnsdata og utarbeide et slikt utslippsregnskap, på samme måte som de leverer årlige data for direkte utslipp fra kommunene. Asker vil være med på å omstille Norge, og for å få dette til trenger vi at: Rapporten har potensiale til å bli en viktig premissleverandør for samfunnsplanleggingen framover. Omstillingen til lavutslippssamfunnet handler om mer enn utslipp. Den innebærer en bred samfunnsomstilling som må starte nå.",Offentlig forvaltning
Bergen INP,"Moder Jord bryr seg ikke om hvor gassen blir brent. Og verdifull strøm som vi har bruk for på land, blir i stedet sendt ut til plattformene. Rent beredskapsmessig blir også samfunnet mer sårbart når alt er avhengig av elektrisitet. DSB sin nye anbefaling er å klare seg inntil 7 dager uten strøm. Med hus som ikke har andre energikilder enn elektrisitet, blir det f.eks. vanskelig å sikre oppvarming. Og elektriske biler går jo også tom for strøm.",Politisk parti
Bergen INP,Elektrifisering av brøyting og annet vil kreve store investeringer i materiell og ladeinfrastruktur. Penger som f.eks. kunne blitt brukt til å vedlikeholde veinettet. Bare i Vestland er etterslepet på vedlikehold av vei på 16 milliarder. I stedet blir pengene slust inn i klimatiltak som ikke monner. 8.Vindkraft er ikke løsningen. Det er viktig å huske på at vindkraft IKKE er utslippsfritt. Det er det ingen ting som er.,Politisk parti
Besteforeldrenes klimaaksjon,"5 ...det må være en bred tilnærming til virkemiddelbruk hvor juridiske, økonomiske og pedagogiske virkemidler benyttes a. det legges vekt på at virkemidlene i klimapolitikken er forutsigbare og reduserer uønsket stiavhengighet. b. virkemidler kombineres for å gi rask omstilling og økt oppslutning om klimapolitikken. c. juridiske virkemidler som krav, påbud og forbud i større grad tas i bruk, og at det løpende vurderes om det er hensiktsmessig å varsle fremtidig forbud av utslipp fra ulike kilder. d. lovverket prioriterer klimahensyn gjennom krav om å vurdere klimaeffekt eller vektlegge klimahensyn. e. det alltid vurderes om andre virkemidler som offentlige anskaffelser og pedagogiske virkemidler kan være effektive. Ad a-e:",Frivillig organisasjon
Besteforeldrenes klimaaksjon,"Kommentar: Hvis KAF ble innført (omtalt i forrige punkt), ville sannsynligvis mange av utfordringene under dette punktet ha blitt løst: Markedsmekanismene ville ha løftet fram klimamessig gode produkter, prosesser, transport ol. «automatisk», mens de med store utslipp ville prise seg ut. 6 …planer og beslutningssystemer må ta utgangspunkt i at Norge skal være et lavutslippssamfunn i 2050 a. Norge etablerer et styrket styringssystem for klimaomstilling som bidrar til at målene blir nådd. b. alle sentrale styrings- og politikkdokumenter som de årlige budsjettdokumentene, Nasjonal transportplan og Perspektivmeldingen skal ta utgangspunkt i klimamålene.",Frivillig organisasjon
Besteforeldrenes klimaaksjon,"Denne innsatsen må komme i tillegg til oppfyllelse av Norges klimamål. b. det etableres et nasjonalt mål om å redusere utslipp av klimagasser i andre land fra forbruk i Norge i samsvar med målene i Parisavtalen. c. det vurderes hvordan Norge kan inkludere utslipp fra utenriks luftfart og sjøfart knyttet til Norge i de norske, territorielle klimamålene. d. handelspolitikken utvikles som verktøy i overgangen til et lavutslippssamfunn og en sirkulær økonomi. Ad a-d:",Frivillig organisasjon
Besteforeldrenes klimaaksjon,"Virksomheter kan dokumentere disse utslippene med en metode beskrevet i: https://www.klimapartnere.no/metode-for-klimaregnskap/ Se scope 3 i GHG-protokollen (Greenhouse Gas Protocol). Derfor mener BKA at det må sies tydeligere at det generelle forbruket til den rike del av verden må reduseres for at målene skal kunne nås. Verden totalt bruker nesten dobbelt så mye av fornybare ressurser som kloden tåler, og vi i Norge bruker årlig nesten 4 ganger så mye som folketallet skulle tilsi.",Frivillig organisasjon
Besteforeldrenes klimaaksjon,"Men legitimiteten til norsk klimapolitikk kan ikke bygge på kvotekjøp fra udemokratiske regimer, f.eks. Usbekistan, slik det er gjort avtale om. BKA forventer at regjeringen etterlever Hurdalserklæringa og tar utslipp hjemme også i kvotepliktig sektor. Vi håper våre kommentarer og innspill bidrar til å forsterke det utmerkede arbeidet til Klimautvalget.",Frivillig organisasjon
"Besteforeldrenes klimaaksjon, samferdselsgruppa",Samferdselsgruppa i BKA mener fordelene med dette vil mer enn veie opp for ulempene. Vi er også kjent med høringsuttalelsen til Lyntogforum og støtter denne. Vei ut av uføretVi ser det ikke som sannsynlig at folk i Norge frivillig kommer til å redusere sin mobilitet nevneverdig. Å tvinge dem til det ser ikke ut til å være attraktivt for noen politisk parti. Og transport av varer over landet kan vi ikke unnvære. Da er den beste løsningen å by på et alternativ som mange vil ønske velkommen!,Frivillig organisasjon
"Besteforeldrenes klimaaksjon, samferdselsgruppa","Det gjelder både økonomi, naturbruk, miljø og forurensning og i aller høyeste grad: utslipp av klimagasser. Dette er i samsvar med europeisk samferdsels- og klimapolitikk. Utredningene fra Deutsche Bahn International i perioden 2008 – 2012 konkluderte med store, positive miljø- og samfunnsgevinster for norske høyhastighetsbaner i et flerbrukskonsept for langdistanse-, regional- og godstrafikk. I 2023 engasjerte Norsk Bane spanske Sener til en ny og oppdatert utredning av i første omgang Oslo – Bergen/Haugesund/Stavanger, også kalt Vestlandsbanen over Haukeli. Utredningen blir ferdig i løpet av våren 2024.",Frivillig organisasjon
"Besteforeldrenes klimaaksjon, samferdselsgruppa","Dette som følge av innfasing av batteri-elektriske løsninger og produksjon av avansert biodrivstoff, hydrogen, ammoniakk og syntetisk drivstoff[1]. Det fremstår som både urealistisk og skremmende med tanke på de naturinn­grepene, klimautslippene og kostnadene for øvrig det vil medføre. Da må man jo slå alarm! Hvor skal vi få all den kraften fra? Dette vil jo kreve så store mengder ny kraft at dagens vindmølleparker kommer til å fremstå som bagateller!",Frivillig organisasjon
"Besteforeldrenes klimaaksjon, samferdselsgruppa","Tog bruker svært lite energi sammenlignet med andre transportmidler for samme transportmengde. Moderne tog på elektrisk kraft gir nesten ingen klimagassutslipp. Overført trafikk fra fly, trailere og biler til moderne baner vil redusere energibruken innen samferdsel med flere TWh årlig og klimautslip­pene med flere millioner tonn CO2 -ekvivalenter årlig. Jernbane er også meget arealeffektiv.",Frivillig organisasjon
"Besteforeldrenes klimaaksjon, samferdselsgruppa","Og skal man ha dobbeltspor, er det ikke bare å legge et nytt spor ved siden av det gamle. Det som kalles «oppgradering» til dobbelt­spor i InterCity-området er derfor ikke gjenbruk av en eneste meter bane. Alt bygges nytt.",Frivillig organisasjon
Bodø kommune,"Utredningen er tydelig på at enkelte eksisterende næringer vil miste konkurransekraft, som en naturlig del av omstillingen vi skal gjennom. Dette kan komme av at produktet/tjenesten de tilbyr utkonkurreres av ny teknologi, at rammebetingelser endres, eller at investorer rømmer næringer som ikke klarer å demonstrere at de kan være en del av lavutslippssamfunnet. Byer og regioner løper noe av den samme risikoen for å miste sin konkurransekraft (både på produkter, tjenester og kompetanse) om man ikke henger med i omstillingen. Bodø kommune og det lokale næringslivet har behov for økt kompetanse på temaet omstillingsrisiko, og trenger tydeligere nasjonale føringer på hva som vil kreves av oss i den grønne omstillingen. Eierskapsmeldingen stiller krav til at statseide selskaper skal bidra til omstillingen og gi positive lokale ringvirkninger. Dette må følges opp i en helt annen grad enn det gjøres i dag.",Offentlig forvaltning
Bodø kommune,"Planlegge klimapolitikken Bodø kommune støtter anbefalingen om at kommunene må ha en tydelig rolle, og ansvar for å bidra i omstillingen til lavutslipp. I tillegg til lovpålagte oppgaver, kan kommunen spille en viktig rolle som pådriver og initiativtaker for grønn omstilling. Det er et behov for å styrke kommunens insentiver til å gjennomføre klimatiltak, for eksempel gjennom å bruke inntektssystemet til å belønne kommuners innsats for å redusere klimagassutslipp. Utvalget anbefaler å gjøre kommunenes ansvar for gjennomføring av klimapolitikken tydeligere, og at dette lovfestes. Vår hovedinnvending til utredningen er at en slik bruk av juridiske virkemidler ikke kan gjennomføres uten at kommunenes handlingsrom for å gjennomføre klimatiltak styrkes betraktelig. Lovfesting av kommunenes ansvar for omstilling til lavutslippssamfunnet kan ikke gjøres uten at kommunene tilføres ressurser, kompetanse og verktøy for å løse de store oppgavene vi står overfor.",Offentlig forvaltning
Dag Hendrik Flølo,"Der er også flere andre områder der utvalget ikke har besvart oppgaven. For eksempel mandatets oppgaver om klimarisiko og geografiske skilnader. Det kan være flere årsaker til manglene, deriblant urealistiske forventninger eller forestillinger i mandatet i kombinasjon med rammebetingelsene for utredningen. Men, når det først er slik at utvalget har sett, eller burde ha sett, at de ikke var i stand til å svare på oppgaven eller deler av oppgaven i mandatet så burde de også ha gjort oppmerksom på manglene i en tidlig og tydelig del av oppsummeringen. Det er ikke tilfelle. Utredningen går rett",Privatperson
Dag Hendrik Flølo,Det kan lett gi lesere en urealistisk forestilling om hva utredningen i realiteten har omfattet. Slik utredningen er lagt opp er det meget krevende for leseren å avdekke mangler ved utredningsarbeidet og misforhold mellom mandatet og utredningen. Om verdien av Norsk olje og Gass I mandatet står det:“Oppfylling av Parisavtalen trekkjer isolert sett i retning av lågare etterspørsel etter fossil energi og dermed lågare verdi av oljen og gassen på norsk sokkel. ” En helt alminnelig og grunnleggende forståelse av verdien av en vare er at det er forholdet mellom tilbud og etterspørsel som er bestemmende for verdien av en vare og ikke etterspørselen alene. Historien har så langt vist at prisen på olje typisk svinger med en periode på i størrelsesorden 10 - 15 år fra topp til topp. En av de vesentlig mekanisme for svingingene ser ut til å være at oljeproduksjonen fra eksisterende felt vil falle med i størrelsesorden 7 prosent per år dersom det ikke bores nye brønner.,Privatperson
Dag Hendrik Flølo,Dersom utvalget hadde vært annerledes sammensatt og inkludert personer som var mer kritisk anlagt ville det kanskje vært naturlig å kommentere på premissene for klimapolitikken. I en årrekke ble kritiske stemmer til klimapanelets rapporter stigmatisert og undertrykt. Nå har dette i noen grad endret seg. Flere og flere har blitt klar over en del mangler ved klimapanelets vurderinger. Skal klimamålene og klimapolitikken i Norge ha legitimitet er det viktig å ta kritiske perspektiver i betraktning.,Privatperson
Dag Hendrik Flølo,Klimapanelets utredning føyer seg inn i rekken av utredninger som fremstår lite kritiske. Hensikten med dette kapittelet er å identifisere en del mangler ved grunnlaget for klimamålene som stadig flere blir klar over. Mangler som burde tas i betraktning heller enn å unnlate å gjøre kritiske vurderinger av premissene for klimapolitikken eller å forsøke skyve kritiske perspektiv under teppet - i den grad statsforvaltningen i det hele tatt har kritiske perspektiv på Klimapolitikken. I mandatet står det:,Privatperson
Dag Hendrik Flølo,"Nå har det seg slik at CO2 ikke bare fører til global oppvarming. CO2 er også en input til fotosyntesen. Derav kan man tenke seg at økte mengder CO2 i atmosfæren gir bedre vekstvilkår for avlinger, planter, og trær.",Privatperson
Dag Hendrik Flølo,"on attributing change of the global net land CO2 sink. Increasing global net land CO2 sink since the 1980s is mainly driven by the fertilization effect from rising atmospheric CO2 concentrations (Schimel et al., 2015 ; Sitch et al., 2015 ; Fernández-Martínez et al., 2019; O’Sullivan et al., 2019; Tagesson et al., 2020; Walker et al., 2021) (medium confidence). Increasing nitrogen deposition (de Vries et al., 2009; Devaraju et al., 2016; Huntzinger et al. , 2017) or the synergy between increasing nitrogen deposition and atmospheric CO2 concentration (O’Sullivan et al. , 2019) could have also contributed to the increasing global net land CO2 sink.",Privatperson
Dag Hendrik Flølo,"is so divergent that even the signs (directions) of the effects are not the same across DGVMs (e.g. , Huntzinger et al., 2017). ” Avsnittet kunne nok vært uttrykt klarere.",Privatperson
Den norske kyrkja ved Biskopen i Møre Ingeborg Midttømme,"Rapporten peikar på behovet for ei overordna transportplanlegging, som tek utgangspunkt i transportetterspurnaden og transportsystema i 2050. Difor hastar det med å definere transportsystemet i 2050 – med reduserte utslepp og arealbruk. Deretter kan ein finne dei beste løysingane totalt sett for jernbane, veg, flytrafikk og sjøfart. Vi må ikkje låse oss til den «stien» som er lagt i tidelgare Nasjonal transportplan (NTP), men i staden ha fokus på korleis transportsystemet skal sjå ut i eit lågutsleppssamfunn. Biskopen stiller seg bak dei tiltaka som er foreslått både i forhold til restriktiv arealbruk, mindre fokus på høg fart og at vedlikehald og utvikling av eksisterande infrastruktur vert prioritert framfor ny utbygging.",Frivillig organisasjon
Den norske kyrkja ved Biskopen i Møre Ingeborg Midttømme,"Nrk viste nyleg kor mykje areal som er bygd ned over heile landet berre dei siste fem åra ved utbygging av motorvegar, hyttefelt, bustader, vindkraft og næringsparkar. NOU rapporten peikar på behovet for ein heilskapleg nasjonal arealpolitikk både på land, i kystsona og til havs, og at regjeringa må legge fram ei sak om dette for Stortinget med det aller første (NOU 2023:25 s. 103). Eit viktig grep, som også biskopen i Møre stiller seg bak, er at det må fastsettast klare rammer for kommunane sitt ansvar i arealpolitikken, for å avgrense nedbygging av naturlege areal vesentleg. Statlege verksemder og institusjonar må også forplikte seg til å unngå nedbygging av natur i størst mogleg grad. Det hastar med å få på plass ein nasjonal strategi og eit endå meir forpliktande regelverk i så måte. Forvaltning av skaparverket er heilt sentralt i den verdsvide kyrkja si lære og teologi. Det er også bakgrunnen for at Bispemøtet i DnK i 2021 laga dokumentet «Guds skaparverk - vår heim.",Frivillig organisasjon
Den norske kyrkja ved Biskopen i Møre Ingeborg Midttømme,"Alt på 300-talet skreiv biskop Ambrosius: «Jorda skal brukast av alle, alle saman. Ho kjenner ingen rike, berre fattige som ho føder. Det er ikkje av ditt gode som du gir til dei fattige. Det er ein del av Guds eige du gir tilbake.",Frivillig organisasjon
Den norske kyrkja ved Biskopen i Møre Ingeborg Midttømme,"(Guds Skaparverk – vår heim, 2021). Når Ambrosius sa dette tenkte han truleg også på komande generasjonar – slik vi og må gjere. Med helsing Ingeborg MidttømmeBiskop Tore Johan Øvstebørådgjevar Dokumentet er elektronisk godkjend og har difor ingen signatur",Frivillig organisasjon
Eidsvoll INP,"Finske forskere ved LUT Universitet, et ledende universitet innen forskning på klimatiltak og bærekraft, har funnet ut at 90% av CO2-innsparingen til vindturbiner på land gjennom driftsperioden, beregnet til 25 år, forsvinner bare ved utvinning og foredling av de sjeldne jordmetallene. Og da har de ikke regnet på CO2-utslipp knyttet til utbygging, drift, riving og avfallshåndtering. Det kommer i tillegg. I tillegg er vindkraft svært arealkrevende, og reduserer naturens evne til å binde CO2, spesielt der de er anlagt i myrområder. Når man så legger til at det er forurensende, med både fare for lekkasje av hydraulikkolje og avskalling av belegget på vingene, som bl.a. inneholder giften bisfenol A, ser man tydelig at klima trumfer miljø og natur. S. 81 i rapporten blir det lagt til grunn en forventning om at prisen på flytende havvind vil bli redusert fra 117 øre pr. kWh i 2021 til 68 øre pr. kWh i 2030.",Politisk parti
Eidsvoll INP,"F.eks. har enorme økninger i kostnader veltet økonomien i Equinors gigantiske havvind-prosjekt i USA, og Equinor og samarbeidspartner British Petroleum ber om en subsidie på 2 kr pr. kWh for å gå videre med satsinga. Det er jo milevidt unna både 117 øre og 68 øre.9. Sosioøkonomiske forskjeller vil øke. EUs nye bygningsenergidirektiv, «Energy Performance of Buildings Directive», omhandler energieffektivisering av boliger med mål om å bli et nullutslippssamfunn innen 2050. Da skal alle boliger ha energiklasse A.Det er ikke usannsynlig at det vil koste mellom en halv og halvannen million kroner å oppgradere en bolig, og denne regningen ender hos boligeieren. For folk som har lite å rutte med, kan det ende med at de må selje boligen, da de ikke har råd til å gjøre denne oppgraderingen. Utvalget skriver også at lave energipriser ikke skal være et hovedmål for energipolitikken, men at prisene i stedet må reflektere samfunnet sine kostnader ved å skaffe ny kraft til veie. Til tross for at utvalget sier at «høye kraftpriser kan ramme enkelte husholdninger hardt», så fraråder utvalget «å gjøre lave kraftpriser til et hovedmål i energipolitikken».Disse føringene om at klimahensyn skal gå foran vil gå ut over norsk næring og industri, og effekten av høye kraftpriser vil være negativt for bedrifter så vel som privatpersoner, og vil føre til at de sosioøkonomiske forskjellene vil øke.",Politisk parti
Energigass Norge,"Fosfor er en ikke en uendelig ressurs, og utvinnes i dag i hovedsak i Russland og land i Vest-Afrika. Ved å samle opp fiskeslammet og bruke det til produksjon av biogass, er det mulig å gjenvinne fosforet. Hydrogen og andre fornybare gasser Norge har muligheter til å produsere store mengder hydrogen enten fra naturgass med CO2-fangst eller ved elektrolyse av vann. Hydrogen har ikke utslipp av CO2 ved bruk. Det trengs elektrisitet for å produsere hydrogen, men fordelen er at hydrogen kan lagres til senere bruk.",Interessegruppe
Energigass Norge,"Norge har derfor både kapasitet og kompetanse til å produsere hydrogen. Fra hydrogen kan en også produsere ammoniakk som er pekt på som et framtidig drivstoff i skipsfarten. Det er også mulig å produsere andre fornybare gasser som biologisk basert propan som er et biprodukt ved produksjon av biodiesel, e-fuel, pTx og andre løsninger det forskes på. Felles mål, flere løsninger Vi er som sagt enige i målene fra Klimautvalget 2050, men når det gjelder energiområdet, mener vi at en må se på flere løsninger enn det utvalget tar for seg. Ellers vil det være vanskelig, om ikke umulig, å nå utvalgets ambisjoner.",Interessegruppe
